Time,frontend,adservice,emailservice,cartservice,recommendationservice,paymentservice,currencyservice,productcatalogservice,shippingservice,redis-cart,checkoutservice,Total
2020-11-25 15:49:44,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:45,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:46,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:47,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:48,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:49,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:50,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:51,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:52,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:53,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:54,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:55,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:56,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:57,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:58,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:49:59,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:00,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:01,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:02,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:03,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:04,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:05,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:06,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:07,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:08,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:09,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:10,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:11,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:12,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:13,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:14,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:15,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:16,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:17,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:18,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:19,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:20,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:21,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:22,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:23,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:24,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
2020-11-25 15:50:25,8.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,26.0
